Student_ID,Programming,DSA,DBMS,OS,Computer_Networks,OOP,Web_Development,Python,Java,AI_ML,Cloud_Computing,DevOps,SQL,Git_GitHub,Communication,Teamwork,Problem_Solving,Internship,Certifications,Industry_Alignment_Score,Employability_Status
S044,8,9,10,8,8,8,8,10,8,8,8,9,9,10,10,9,9,Yes,3,95,1
S045,9,7,8,9,9,9,7,8,7,9,7,9,7,8,7,7,7,Yes,5,77,1
S046,8,7,8,9,8,9,8,8,9,9,8,8,7,9,7,8,9,Yes,6,84,1
S047,9,9,7,9,8,9,7,7,8,9,9,8,8,7,9,8,9,Yes,3,96,1
S048,3,4,2,2,3,3,4,3,3,4,3,4,2,3,2,3,3,No,1,56,0
S049,9,8,8,7,7,9,8,9,8,9,8,7,7,8,9,7,8,No,2,96,1
S050,10,8,10,8,9,10,8,10,9,8,8,8,9,8,10,8,9,Yes,2,95,1
S051,5,5,4,5,6,4,5,4,6,6,6,4,4,5,5,5,6,No,1,61,0
S052,8,8,7,6,7,8,7,7,7,8,8,7,7,7,6,8,6,Yes,4,93,1
S053,7,8,7,8,7,7,8,8,6,7,6,6,8,8,7,6,7,No,5,76,1
S054,9,7,7,8,8,8,9,9,8,9,7,8,9,9,8,8,9,Yes,3,88,1
S055,5,7,7,6,5,7,5,6,5,7,7,5,6,5,7,6,5,No,0,39,0
S056,6,6,8,7,8,8,6,6,6,6,8,7,8,8,6,7,8,Yes,4,88,1
S057,9,7,8,8,9,9,7,7,8,8,9,8,9,8,9,8,8,Yes,5,83,1
S058,3,4,5,4,5,4,5,4,3,5,4,4,3,5,5,5,3,No,1,41,0
S059,7,6,5,7,5,7,6,7,7,7,7,5,7,5,7,7,5,No,1,49,0
S060,7,7,8,8,9,8,7,7,7,9,8,9,9,8,7,8,8,Yes,4,98,1
S061,5,4,4,4,6,6,6,5,6,5,4,5,4,5,6,4,5,No,1,42,0
S062,10,9,8,10,8,9,8,10,10,9,10,8,10,8,10,9,10,Yes,6,87,1
S063,8,8,7,7,7,9,7,8,8,8,9,9,9,9,8,9,9,Yes,2,76,1
S064,6,5,7,6,5,6,6,5,6,5,7,6,7,7,6,5,6,No,1,61,0
S065,8,6,8,8,8,6,6,7,6,6,8,6,6,8,6,8,6,No,5,77,1
S066,4,3,3,5,4,3,3,5,3,3,3,4,3,5,4,3,3,No,0,35,0
S067,8,6,7,7,7,8,8,6,7,8,6,8,6,8,8,8,7,Yes,6,78,1
S068,7,8,6,7,8,7,6,6,7,8,6,6,6,7,8,8,8,Yes,5,87,1
S069,8,8,9,9,8,7,9,7,9,9,9,9,7,8,8,7,8,Yes,6,91,1
S070,8,8,9,8,8,7,9,8,7,7,7,7,8,7,9,9,8,Yes,2,85,1
S071,4,2,3,3,4,3,4,2,3,4,3,3,2,4,4,2,2,No,2,56,0
S072,3,4,5,3,4,5,5,5,5,5,5,3,5,5,5,4,3,No,1,58,0
S073,8,8,8,10,10,9,8,8,10,10,8,8,10,10,8,9,9,Yes,4,86,1
S074,8,6,6,6,6,8,6,8,6,7,7,8,7,7,8,7,7,Yes,4,93,1
S075,9,10,10,10,9,10,10,9,8,8,9,10,8,8,8,9,8,Yes,5,78,1
S076,5,6,5,4,4,5,6,6,4,6,6,6,5,4,5,6,4,No,0,35,0
S077,8,9,8,9,9,8,8,7,8,7,8,7,9,8,9,8,7,No,4,93,1
S078,8,6,7,7,8,7,6,7,6,6,8,8,6,8,8,6,7,Yes,6,87,1
S079,8,9,8,8,10,8,10,8,8,10,9,9,10,10,9,10,10,No,3,78,1
S080,4,5,4,5,5,6,5,5,6,4,5,6,4,5,5,5,4,No,2,55,0
S081,9,9,8,8,9,9,9,7,8,9,9,7,8,9,8,9,7,Yes,2,94,1
S082,7,7,5,5,5,7,6,6,7,7,7,5,6,6,6,6,6,Yes,1,40,0
S083,2,3,2,4,4,3,3,3,4,4,4,2,3,2,4,4,2,No,2,56,0
S084,4,6,6,4,5,6,5,6,5,4,6,6,6,6,6,4,6,No,2,60,0
S085,4,5,5,4,4,4,4,4,5,4,6,6,6,6,4,6,5,Yes,1,46,0
S086,3,5,5,3,5,4,3,4,4,5,5,3,4,5,4,5,4,No,0,45,0
S087,7,8,8,7,7,7,7,8,8,7,6,6,8,6,7,6,8,Yes,5,81,1
S088,9,7,8,7,7,8,8,9,7,8,7,7,8,8,7,8,7,Yes,2,97,1
S089,7,7,8,7,9,9,8,7,7,7,8,8,9,7,9,8,8,Yes,2,86,1
S090,4,4,4,4,3,2,3,2,3,2,2,2,3,4,4,3,2,Yes,0,44,0
S091,9,9,7,9,7,8,8,7,9,8,7,9,8,7,9,9,7,Yes,2,95,1
S092,9,9,9,7,8,8,7,9,8,8,8,9,7,8,7,8,7,Yes,6,92,1
S093,2,2,3,4,3,4,2,4,3,4,3,4,2,2,2,4,3,No,2,56,0
S094,7,7,8,7,8,7,7,6,8,6,7,7,6,8,7,7,6,Yes,3,76,1
S095,6,6,5,6,7,6,6,7,6,5,7,6,5,6,7,5,7,No,2,63,0
S096,7,8,8,7,6,8,7,7,7,6,8,7,8,7,7,8,6,Yes,4,84,1
S097,10,8,8,8,10,10,9,8,8,8,8,10,9,9,9,10,8,Yes,6,98,1
S098,5,7,5,7,6,6,6,7,6,5,5,5,7,5,6,7,6,No,1,63,0
S099,2,4,3,4,3,2,2,2,2,3,2,4,3,2,4,3,4,No,1,63,0
S100,6,8,8,8,8,6,7,8,6,6,6,6,6,7,6,7,8,Yes,4,84,1
S101,9,7,7,8,8,9,9,8,9,8,8,9,7,7,8,9,7,No,6,79,1
S102,10,10,8,8,9,10,8,8,10,8,9,8,8,9,10,8,9,Yes,3,92,1
S103,6,6,5,4,6,5,6,6,4,6,6,4,6,6,4,4,6,No,1,47,0
S104,4,4,4,6,6,5,6,4,6,5,6,6,4,5,6,6,5,No,2,37,0
S105,5,5,4,6,4,4,5,5,5,5,4,5,6,4,5,6,5,No,2,60,0
S106,6,6,4,5,4,5,4,5,5,4,4,4,4,5,5,6,5,No,0,58,0
S107,7,6,6,7,8,7,7,7,7,6,6,7,8,7,6,6,8,No,6,98,1
S108,8,7,7,8,6,6,7,6,7,8,7,7,7,6,7,6,8,Yes,6,95,1
S109,9,8,9,8,9,9,9,7,7,7,8,8,8,9,8,7,7,Yes,2,87,1
S110,5,7,6,6,7,6,5,7,7,5,6,7,6,5,6,7,7,No,0,37,0
S111,5,6,6,5,5,4,5,5,6,4,5,6,5,6,6,6,4,No,2,69,0
S112,7,9,7,9,8,7,9,9,9,9,8,7,9,7,7,9,9,No,6,93,1
S113,7,8,6,7,8,8,7,8,8,6,8,6,8,6,8,7,8,Yes,5,79,1
S114,9,8,9,8,9,9,9,9,9,8,9,8,7,7,8,9,8,Yes,3,89,1
S115,9,8,8,8,8,9,9,8,8,7,9,9,9,8,8,8,7,Yes,3,97,1
S116,8,9,8,9,8,7,7,9,8,9,9,8,7,7,9,9,9,No,2,86,1
S117,8,6,6,6,7,7,8,7,6,8,6,6,8,6,7,8,7,Yes,6,82,1
S118,7,8,6,6,8,8,6,8,8,8,6,6,7,6,6,7,7,Yes,4,85,1
S119,8,9,10,10,8,9,9,9,10,10,10,9,8,10,9,9,8,No,4,76,1
S120,6,4,4,6,5,5,6,6,4,4,6,6,5,5,6,5,4,Yes,1,51,0
S121,7,6,6,7,7,6,7,7,7,7,8,8,8,6,7,8,7,Yes,3,90,1
S122,2,3,4,4,4,3,4,2,4,3,3,4,2,2,2,3,2,No,1,54,0
S123,10,10,8,8,10,10,8,10,9,10,10,9,8,10,8,8,10,Yes,6,90,1
S124,4,5,4,3,5,3,5,5,4,3,5,4,3,4,3,5,4,No,0,45,0
S125,6,7,7,6,8,6,8,6,6,7,7,8,6,8,6,6,7,Yes,4,98,1
S126,9,9,8,8,8,8,8,8,7,9,9,9,7,9,8,7,7,Yes,3,95,1
S127,5,5,6,6,7,7,7,6,7,6,5,5,6,6,5,6,5,No,2,49,0
S128,4,2,2,2,2,2,4,2,3,4,4,4,2,2,4,2,3,Yes,2,61,0
S129,10,9,8,10,10,9,10,10,10,9,8,9,8,10,10,8,9,Yes,2,79,1
S130,6,8,8,7,8,7,6,7,8,8,7,8,7,8,7,7,6,Yes,6,98,1
S131,6,7,8,6,7,6,8,7,7,8,8,6,7,6,7,6,7,Yes,5,82,1
S132,7,5,5,6,6,7,7,7,5,5,5,7,7,7,7,5,6,No,0,69,0
S133,7,9,7,9,8,7,9,9,9,7,8,7,9,8,8,8,8,Yes,2,81,1
S134,8,8,7,9,8,8,7,8,8,8,7,9,7,9,7,7,8,Yes,4,91,1
S135,8,8,9,8,9,10,8,9,10,10,10,9,9,9,10,10,10,Yes,5,84,1
S136,6,8,8,7,6,8,8,6,8,6,6,8,6,6,7,6,8,Yes,4,80,1
S137,9,9,8,10,10,10,10,9,10,9,8,8,10,10,9,8,8,Yes,3,91,1
S138,9,9,9,8,7,7,7,9,7,7,7,9,9,8,8,8,8,Yes,4,75,1
S139,7,8,9,7,9,9,7,7,8,8,8,9,8,7,9,7,9,Yes,3,97,1
S140,7,9,7,7,7,9,9,8,8,7,7,9,8,9,9,9,7,No,4,93,1
S141,7,9,8,7,8,7,9,7,9,8,9,9,8,8,9,7,9,Yes,3,93,1
S142,4,5,6,6,6,5,5,4,6,5,5,5,4,5,6,5,5,Yes,1,49,0
S143,9,8,10,8,8,9,8,9,10,10,8,10,9,9,9,8,8,Yes,2,94,1
S144,7,7,7,8,8,9,9,9,8,7,7,7,8,9,7,9,9,Yes,4,78,1
S145,5,7,7,5,7,7,5,7,6,5,5,6,6,6,6,5,5,Yes,1,59,0
S146,8,8,7,9,9,8,9,9,7,8,7,7,8,7,8,8,9,Yes,5,77,1
S147,9,7,8,8,9,9,7,8,8,7,8,8,8,9,9,9,8,Yes,5,95,1
S148,4,3,5,3,5,5,3,5,5,3,5,4,5,3,4,4,5,No,1,60,0
S149,8,7,8,9,7,9,8,8,7,8,9,8,9,8,9,9,9,Yes,3,95,1
S150,8,8,8,6,6,6,8,8,7,6,8,8,6,8,8,8,8,Yes,4,97,1
S151,7,7,8,7,9,9,9,9,9,9,9,7,8,8,8,8,9,No,5,78,1
S152,8,9,9,8,8,10,8,9,9,9,9,8,10,9,9,9,8,Yes,2,90,1
S153,8,10,8,8,9,10,8,10,8,10,8,10,8,10,8,9,10,Yes,2,84,1
S154,7,7,9,9,8,8,7,9,9,7,8,9,8,8,7,9,7,Yes,5,95,1
S155,8,10,8,9,9,8,9,8,9,10,9,10,10,9,10,9,10,No,2,93,1
S156,6,8,8,7,8,8,6,8,6,7,6,6,7,6,6,7,8,Yes,5,94,1
S157,8,8,7,8,9,9,9,9,7,9,7,8,8,7,7,8,8,Yes,3,93,1
S158,4,5,6,6,6,5,5,6,5,5,6,5,5,4,4,6,4,No,1,43,0
S159,5,4,3,4,5,5,4,5,5,3,5,3,4,5,4,5,3,No,1,49,0
S160,7,7,5,6,5,6,6,6,5,6,5,5,5,7,7,7,6,No,1,41,0
S161,5,5,7,6,7,6,7,7,5,6,7,6,6,7,6,7,7,Yes,0,48,0
S162,4,5,3,5,3,3,3,5,4,3,5,4,4,3,5,5,4,No,1,38,0
S163,6,7,7,6,7,6,6,6,6,7,5,7,5,7,6,7,7,No,2,40,0
S164,3,2,3,3,3,3,3,4,4,2,4,3,3,4,2,2,2,No,1,48,0
S165,6,5,6,5,7,5,7,6,5,6,5,7,6,6,5,6,7,Yes,0,63,0
S166,5,5,3,4,5,3,5,3,3,3,4,3,3,5,3,5,5,Yes,2,54,0
S167,8,6,7,6,6,7,6,8,6,6,7,7,7,6,7,6,8,Yes,2,88,1
S168,5,5,3,4,4,5,3,5,5,3,4,5,5,4,3,3,3,Yes,2,35,0
S169,7,7,6,6,7,8,6,6,8,8,8,8,8,7,8,6,8,Yes,5,86,1
S170,5,4,4,5,3,3,4,4,3,3,4,5,5,3,5,3,4,No,2,47,0
S171,4,5,5,3,4,3,3,5,3,3,4,3,3,3,4,5,4,No,2,61,0
S172,7,7,7,7,5,6,5,6,5,7,5,5,7,6,6,7,7,No,1,40,0
S173,2,2,2,3,2,3,4,4,2,3,4,4,4,4,2,2,2,No,1,50,0
S174,4,4,3,2,3,2,4,3,4,2,2,3,3,3,4,2,3,Yes,1,68,0
S175,2,3,4,2,3,2,3,2,4,4,4,2,2,4,4,2,2,No,2,58,0
S176,3,2,2,2,4,4,4,4,3,2,3,2,3,4,3,3,2,No,1,58,0
S177,6,8,6,7,6,7,7,7,7,6,8,7,6,7,6,7,8,Yes,2,80,1
S178,3,5,5,3,3,3,4,3,3,5,4,5,5,3,4,3,5,No,2,66,0
S179,10,8,9,9,8,8,10,9,8,8,8,10,9,10,9,9,10,Yes,2,81,1
S180,8,8,6,7,8,6,6,7,7,7,7,8,8,7,7,7,7,Yes,5,77,1
S181,6,6,6,7,7,7,7,6,8,7,6,7,7,7,7,6,6,Yes,6,78,1
S182,8,9,8,8,10,8,9,9,10,8,10,9,9,8,8,9,9,Yes,6,76,1
S183,8,8,8,8,8,8,8,9,9,10,10,10,8,10,10,9,8,Yes,5,78,1
S184,6,7,6,6,7,6,6,8,7,8,7,7,6,7,8,7,6,Yes,5,79,1
S185,6,8,8,8,6,8,7,7,7,8,7,6,6,7,7,6,7,Yes,5,79,1
S186,9,10,9,9,10,9,9,10,10,9,9,9,8,8,9,10,8,Yes,6,75,1
S187,8,9,7,7,7,7,9,7,8,9,9,7,7,9,8,8,7,Yes,5,91,1
S188,8,10,10,9,10,10,8,10,8,9,10,9,8,9,8,8,8,Yes,4,93,1
S189,7,8,6,6,7,8,6,7,6,6,6,8,8,6,6,8,7,Yes,5,75,1
S190,6,4,5,5,5,4,4,6,5,6,5,6,5,4,6,6,6,No,2,60,0
S191,5,5,6,6,5,4,4,6,4,6,6,5,6,4,4,6,5,No,2,46,0
S192,3,4,5,3,3,4,4,3,5,3,5,5,5,5,4,4,3,No,0,66,0
S193,6,8,6,6,7,7,8,7,6,7,7,7,7,8,7,6,7,Yes,4,83,1
S194,4,3,4,4,3,3,4,3,4,3,5,3,5,3,4,5,5,Yes,0,37,0
S195,4,3,2,2,2,3,2,2,3,4,4,4,4,4,3,4,3,No,2,45,0
S196,7,6,6,7,6,7,6,7,8,8,8,7,6,6,6,6,6,Yes,6,92,1
S197,3,3,3,4,3,2,4,4,3,2,3,3,3,2,3,2,3,No,0,54,0
S198,7,7,9,9,7,7,9,8,9,8,9,7,9,7,8,9,8,Yes,4,93,1
S199,6,5,6,7,5,7,7,7,7,7,7,5,5,6,5,5,5,No,0,65,0
S200,3,5,3,5,4,4,5,3,3,4,5,4,5,4,4,5,4,Yes,0,62,0
S201,3,2,3,2,2,4,4,4,2,2,4,2,3,4,3,3,3,No,2,68,0
S202,7,8,8,7,9,9,9,9,8,7,8,8,9,7,7,9,8,Yes,5,76,1
S203,5,5,6,6,4,4,4,5,6,5,5,5,6,5,6,6,4,Yes,1,54,0
S204,7,8,7,6,8,6,6,7,8,8,7,6,8,8,6,6,6,No,5,98,1
S205,4,3,4,5,3,4,4,4,5,4,5,3,5,3,3,4,4,No,0,37,0
S206,8,7,7,6,7,8,8,6,7,6,7,6,6,8,6,6,8,No,5,93,1
S207,6,8,6,7,6,8,6,8,6,6,7,8,7,8,8,8,7,Yes,5,91,1
S208,7,8,8,9,9,9,8,9,7,7,9,9,8,9,9,9,9,No,5,83,1
S209,9,10,9,9,9,10,10,10,9,8,8,10,8,8,10,9,10,Yes,2,85,1
S210,7,7,7,7,8,6,8,8,8,6,7,8,8,6,8,8,8,Yes,5,84,1
S211,5,4,5,4,6,5,6,6,4,6,5,6,4,4,5,4,6,No,0,46,0
S212,6,7,6,6,5,6,5,7,7,7,7,5,6,5,7,5,7,No,1,58,0
S213,7,8,8,9,8,7,8,9,7,7,8,8,9,7,8,9,7,Yes,3,79,1
S214,7,8,7,7,9,8,9,8,8,8,8,8,7,7,9,7,9,Yes,3,93,1
S215,6,8,6,8,8,6,6,8,7,7,6,6,7,8,8,7,6,No,6,81,1
S216,8,8,8,8,7,7,8,6,7,7,7,6,6,7,6,6,6,Yes,4,89,1
S217,3,3,4,5,5,3,4,5,4,5,5,3,5,3,5,3,5,No,0,67,0
S218,3,2,4,3,3,4,2,2,4,4,4,2,3,3,4,2,4,No,1,63,0
S219,8,10,10,10,8,9,8,8,9,8,10,8,9,10,8,9,10,Yes,3,88,1
S220,8,7,7,6,6,6,8,6,6,8,8,7,6,6,8,6,8,Yes,5,81,1
S221,5,5,4,4,4,4,5,5,6,5,5,6,4,4,4,4,4,No,1,53,0
S222,5,3,4,4,3,3,4,4,4,4,4,5,4,4,5,3,3,No,1,52,0
S223,9,10,9,10,10,9,8,10,9,9,10,8,10,10,8,9,9,Yes,3,78,1
S224,9,8,7,9,9,9,9,9,9,9,7,9,8,9,9,9,9,Yes,2,83,1
S225,6,7,7,7,6,5,7,7,5,5,7,5,7,6,6,5,5,No,0,65,0
S226,6,4,6,6,5,5,4,4,5,5,6,5,4,5,5,5,4,No,1,38,0
S227,4,4,2,2,4,4,4,3,4,4,2,4,4,3,3,3,2,Yes,1,37,0
S228,7,7,6,7,6,5,5,7,5,5,6,6,7,6,7,7,6,No,2,65,0
S229,4,4,4,3,2,3,4,2,2,2,3,2,3,2,4,3,2,No,1,43,0
S230,3,3,4,4,4,2,3,2,4,4,2,4,3,4,3,4,2,No,2,42,0
S231,4,5,5,5,4,5,4,4,5,5,3,4,4,4,4,4,3,No,0,41,0
S232,10,10,9,10,10,10,10,8,8,8,10,10,9,10,9,10,8,Yes,6,84,1
S233,5,3,4,5,4,5,5,5,5,4,5,5,5,4,4,3,5,No,2,55,0
S234,8,7,8,9,8,7,7,9,8,7,9,7,8,8,7,9,9,Yes,2,81,1
S235,3,5,5,4,5,5,3,4,4,4,5,4,5,3,3,5,4,No,2,59,0
S236,9,9,9,7,9,7,8,8,7,9,7,7,7,9,9,7,8,No,4,93,1
S237,9,8,7,8,8,9,7,7,7,8,9,7,9,9,9,8,8,Yes,3,80,1
S238,6,4,4,6,4,6,4,5,6,6,5,4,5,4,4,6,5,Yes,2,55,0
S239,8,9,9,7,7,9,8,8,7,9,9,9,7,7,9,8,8,Yes,6,91,1
S240,2,4,3,4,4,3,3,2,3,4,2,3,4,2,2,2,4,No,2,53,0
S241,9,8,8,10,10,10,9,10,8,10,10,8,8,9,10,9,8,Yes,3,96,1
S242,6,8,6,7,7,7,7,8,7,7,7,6,7,8,6,8,6,Yes,4,92,1
S243,4,2,3,4,2,3,4,3,4,2,3,3,3,3,4,2,3,No,2,37,0
S244,7,8,6,7,8,8,8,7,6,8,8,6,6,6,6,8,8,Yes,5,92,1
S245,10,10,10,9,8,9,10,10,8,8,8,8,10,9,8,8,8,No,4,81,1
S246,4,4,2,3,4,2,3,2,2,4,4,3,3,3,2,4,4,No,2,64,0
S247,8,8,8,9,9,8,9,9,7,9,9,8,8,8,7,7,8,Yes,3,85,1
S248,7,6,8,8,7,7,7,7,7,7,7,8,6,6,8,8,6,Yes,5,83,1
S249,5,5,3,5,3,3,5,5,3,5,5,4,5,3,3,5,4,No,0,51,0
S250,9,8,10,10,9,8,9,10,10,8,9,9,10,8,10,8,10,Yes,3,86,1
S251,5,5,4,4,3,3,4,3,3,4,4,3,3,5,3,5,4,No,0,44,0
S252,8,7,9,9,9,8,9,8,9,9,9,7,8,9,8,8,9,No,2,95,1
S253,4,3,3,3,3,3,4,2,4,2,3,2,2,2,4,4,3,No,1,49,0
S254,6,8,6,7,7,8,6,7,8,7,7,6,8,6,8,7,6,Yes,6,97,1
S255,8,8,6,8,6,6,6,7,6,8,7,8,8,8,6,8,8,Yes,3,79,1
S256,6,5,5,4,4,5,6,4,6,4,6,6,6,5,4,6,6,No,0,63,0
S257,8,8,7,7,7,7,9,9,9,8,7,9,7,7,8,9,9,Yes,2,82,1
S258,9,10,8,10,10,8,10,10,9,10,9,9,8,10,10,9,8,Yes,2,77,1
S259,7,7,7,7,5,6,5,6,6,5,5,6,7,7,6,6,5,No,1,57,0
S260,8,10,8,9,10,8,10,9,9,9,8,8,9,10,10,9,9,Yes,6,91,1
S261,7,6,5,6,7,7,6,5,6,7,7,6,6,6,7,6,7,No,2,52,0
S262,6,7,8,6,6,6,8,7,7,8,8,8,8,8,6,6,7,No,2,98,1
S263,4,3,2,2,3,2,3,2,4,2,4,3,3,4,4,4,3,No,0,65,0
S264,3,2,2,4,4,3,2,2,4,4,4,4,2,4,2,4,2,No,0,66,0
S265,9,9,9,10,9,9,10,8,10,8,10,10,8,8,10,9,10,Yes,3,77,1
S266,6,4,5,5,6,4,5,4,5,6,4,6,4,6,5,5,4,No,1,49,0
S267,6,5,5,6,5,4,5,5,6,5,6,4,5,4,5,4,5,No,2,51,0
S268,4,4,5,5,3,5,4,3,4,3,4,5,5,4,3,5,3,No,0,55,0
S269,7,9,9,7,8,9,7,7,9,7,8,7,7,7,7,9,8,Yes,6,83,1
S270,8,7,8,6,8,6,7,7,8,7,7,8,7,7,6,8,7,Yes,2,96,1
S271,9,10,8,10,9,9,10,8,9,8,10,10,9,9,10,8,8,Yes,6,88,1
S272,7,6,5,7,6,5,6,6,7,6,6,5,6,6,5,6,7,No,1,58,0
S273,4,6,4,6,6,4,4,6,5,4,6,5,5,4,4,6,4,No,1,63,0
S274,8,8,8,8,7,7,7,7,8,8,6,7,6,8,6,6,6,Yes,5,79,1
S275,7,6,6,6,6,7,7,6,6,5,6,5,6,7,7,5,7,No,0,63,0
S276,9,10,10,9,10,9,8,9,10,9,9,10,8,8,10,9,9,Yes,4,86,1
S277,5,6,5,6,6,7,6,7,6,7,7,6,6,6,6,7,7,No,0,40,0
S278,7,9,7,9,8,9,9,9,7,7,7,8,7,7,7,8,9,Yes,3,75,1
S279,8,9,7,7,9,8,8,7,7,9,8,8,9,7,7,9,7,Yes,2,78,1
S280,9,10,9,10,9,8,10,10,8,10,10,9,10,10,10,10,9,Yes,4,90,1
S281,10,8,8,9,9,9,9,9,8,9,8,8,10,8,9,9,9,Yes,4,90,1
S282,8,9,9,10,8,8,10,9,8,9,10,9,9,8,8,10,10,No,5,84,1
S283,7,5,7,7,7,7,6,6,7,7,7,6,6,5,5,5,5,No,0,62,0
S284,10,10,9,8,9,8,8,8,10,8,8,8,9,9,8,10,9,Yes,5,83,1
S285,3,4,4,4,4,4,4,5,3,4,3,3,3,4,4,3,5,Yes,0,66,0
S286,6,6,8,6,7,7,6,8,6,6,7,8,6,8,8,6,7,No,4,87,1
S287,9,7,9,9,9,7,8,8,9,8,7,8,7,9,7,7,7,No,3,95,1
S288,5,4,4,4,6,6,5,6,6,4,5,4,4,4,5,4,6,Yes,1,42,0
S289,4,4,2,2,3,2,3,4,4,3,3,4,2,2,4,3,3,Yes,2,44,0
S290,6,5,6,6,5,4,6,4,6,5,5,6,5,5,6,6,4,No,1,63,0
S291,7,7,6,8,8,7,8,6,6,8,7,8,6,7,8,6,8,Yes,4,92,1
S292,7,5,7,6,6,6,7,6,5,5,7,7,5,5,5,5,5,Yes,2,66,0
S293,9,8,9,8,9,9,9,9,8,7,8,7,9,9,7,7,7,Yes,2,93,1
S294,3,4,4,3,3,4,2,4,3,4,2,4,2,3,2,2,4,No,2,38,0
S295,8,10,10,8,10,10,8,10,10,10,9,10,8,10,10,9,10,Yes,5,81,1
S296,8,10,9,10,9,10,8,10,10,9,9,9,10,9,9,9,10,Yes,2,80,1
S297,10,8,9,10,10,9,9,9,9,9,8,10,8,9,10,8,10,Yes,3,93,1
S298,8,7,9,8,9,9,9,9,9,7,7,7,8,8,7,7,8,Yes,3,81,1
